channelId,channel_name,status
UCA3mpqm67CpJ13YfA8qAnow,Terra X,requested
UC5E9-r42JlymhLPnDv2wHuA,Terra X Lesch und Co.,requested
UCP8e6wK18jJNdJpKkeQDlsA,Terra X plus,requested
UCpHHy2MtCnrGaE7mirEhRvg,Terra Xplore,requested
UCsVWpmoRsNAWZb59b6Pt9Kg,Mr Wissen2Go Geschichte,requested
UCZHpIFMfoJJ_1QxNGLJTzyA,Mr Wissen2Go,requested
UC5jjaOwaYKbVzbJRQ9QjWTA,37°,requested
UCHnmeuSOn1Hscizw6otqWrA,Scobel,requested
UC-NZazksH-lR-Mif-3DZL3g,Besseresser,potentially
UCeqKIgPQfNInOswGRWt48kQ,ZDFheute Nachrichten,potentially
UCWKEY-aEu7gcv5ayIpgrnvg,Unbubble,potentially
UCtF6G9azNVPQsV1TXdDhYjQ,Filmgorillas,potentially
UCeaNCdxZcQsNMf8dkIOhLPg,Heureka,potentially
UC5NOEUbkLheQcaaRldYW5GA,tagesschau,competitor
UC4zcMHyrT_xyWlgy5WGpFFQ,BILD,competitor
UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,competitor
UCv1WDP5EiipMQ__C4Cg6aow,Jung und Naiv,competitor
PLdPrKDvwrog5DlE_3wBxXD9NqpVoSQszR,heute 19Uhr,playlist_news
PLdPrKDvwrog5ZutQETLn6_KETzA9EjJdE,heuteJournal,playlist_news
PL2QF6_2vxWihUzfhGizc3pB3d0_N49vQG,BildViertelNachtAcht,playlist_news
PLslDofkqdKI94YfJS4SoIaesEesHdxl6O,WELTderTag,playlist_news
